name,company,title,country
David Rios,DailyMotion,"VP, Latin America",USA
David Torres Vázquez,The Other Film Production,Productor,
David Zannoni,Freeway Entertainment,Consultor Americas,
DAVID BARSKI,Realfiction Group inc.,VP development & acquisitions,USA
Debora de Sola Habsburg,Pollination-Pictures,CEO,
Demian Torres-Bohl,Mexicanal LLC,President,
Devdatta Potnis,Everbloom Creative Inc.,Strategic Global Content Partnerships,
Diamela Pérez,Televisa Univisión,Unimas Director of Programming Strategy,USA
Diana Bustamente,Black Sheep Productions,Production Supervisor,
Diana Camargo,Laberinto,Executive Producer,Colombia
Diana Mejia-Jones,Campanario Entertainment,SVP of Spanish Content,USA
Didier Ghez,Troveo AI,SVP Content Acquisition & Partnerships,
Diego Alfagemez,Señal News,Editor-in-Chief,
Diego García Scheck,CANAL 12 - TELEDOCE,Gerente de Programación,
Diego Landaeta,Casting Cali,Productor,
Diego Piasek,Offline Sports,Co-founder,
Diego Robino,Cimarron Cine,Founder & CBO,
DIEGO VENTURA,AMÉRICA TELEVISIÓN (AMÉRICA ESTUDIOS),DIRECTOR DE DESARROLLO DE CONTENIDOS,Argentina
Dilip Bala,"Merzigo, Inc.","Managing Director, Americas",
Diógenes Henriquez,Telesistema Canal 11,Marketing coordinator,Dom. Republic
Donald Harwood,Dooya TV,Managing Director,USA
Dora Ross,NBCUniversal Telemundo Enterprises,Executive Assistant,USA
Doris Vogelmann,Vme Media Inc,VP programming and Operations,USA
Dr. Neha Hooda,Elevate by Mielo Films,"Founder, CEO",India
DR. SALIH SAMI ATILGAN,ISTANBUL CHAMBER OF COMMERCE,EXECUTIVE BOARD MEMBER,
Edgar Dominguez,United Films Media Group,President,USA
Edgar Jaramillo,Break Da Rules,Studio Head,
Edgar Spielmann,Chilevisión,CEO,Chile
Edison Monroy,Produ,,
Edson Fukunda,Paramount,Creative Sr. Director,
Edson Pfutzenreiter Mendes,Epfutzenreiter Associates and Content Distribution,Brazilian Lawyer Consultant in Content Licensing,
Eduardo Arias-Nath,Polar Star,Executive,
Eduardo Gaspar,TV Gazeta,Creative Director,
Eduardo González Jiménez,SIM MX TV,CEO,Mexico
Eduardo Ruiz,A&E Networks Latin America,President & General Manager Executive,USA
Eduardo Sepúlveda,TelevisaUnivision,COO,Mexico
Eduardo Alberto Rosado Mejía,RoMe Studios,Managing Director,
Edward Allen,Miercoles Entertainment Studios,Co-Ceo,
Elba McAllister,Cineplex,General Manager,USA
Eli Lipnik,The Swen Group,Vice President,
Elisa Brough,Candlelight Media Group / SparkTV,EVP Worldwide Sales & Acquisitions,USA
Elisa Segovia,TelevisaUnivision,"SVP, Creative Strategy & Branding, Streaming & Multiplatform",
Elizabeth Bowen-Tombari,TV Latina,Editor,
Elizabeth Sanderson,Sony Pictures Television,Head of Data Analytics & Business Insights,USA
Emilia Nuccio,Enoro Media,President,
Emilio Ferrari,Syndicate Media Group,president,
Emilio Rubio,Vrio - Directv LA / Sky Bra,CCO,USA
Emilio Schenker,Sipur Studios,CEO & Co-Founder,
Emily Ilkyung Nahm,SBS International,Executive Director,
Enrico Saraiva,Alecrim Vagabundo,CEO,
Enrique Yamuni,Megacable,CEO,Mexico
Eric Malyshev,Ammo Content,VP of Content - Acquisitions & Programming,USA
ERIC JURGENSEN FLORES,LATINA,GERENTE GENERAL Y DIRECTOR DE CONTENIDO Y PROGRAMACIÓN,Peru
Erica Sanchez,Lemon Studios,Production Director,
Erick Opeka,Cineverse,President and chief strategy officer,
Erick Pulido,Imagen TV,Director de Programación y Contenidos,Mexico
Erik Barmack,Wild Sheep Content,Founder and CEO,USA
Erika Vogt Lowell,HITN TV,Director of Programming and Acquisitions HITN,USA
Erika Sagrario Rodríguez Echegollen,TV Azteca,Directora de programación,
ERNESTO MONASTERIO,ECOR LTDA/ RED UNITEL,DIRECTOR COMERCIAL,Bolivia
Erwin Perez,Chicas Guapas,,
Esteban Borras,Claxson,Sales & Marketing VP,United States
Estela Renner,Maria Farinha Filmes,co-founder,
ESTHER SANCHEZ,SQUIRREL MEDIA,HEAD OF STRATEGY,
ETTORE BOTTA,SPACEWOW,President,USA
Eugenia Rivas Calderón,Cinépolis,Distribution & International Sales Executive,
Eugenia Velez,RCN Televisión,VP of Programming & Marketing,Colombia
Eulalia Eguiguren,Teleamazonas,Program Manager,Ecuador
Euzébio Munhoz Junior,California Filmes,Content Acquisition,Brazil
Eva Colon,Sony Pictures Entertainment,Sr Administrative Assistant,
Fabio Golombek,FJ Productions Inc,Producer,
Fabio Prepelitchi,MURGA,Director Comercial,Argentina
Fabricio Ferrara,CVeintiuno/C21Media,Business Development Director,
Faraz Ansari,Urdu1,Founder & CEO,United Arab Emirates
Federico Levrino,Telefe,Senior Director Content and Programming of Telefe,
Federico Scotellaro,Group Isos,,
Feliciano Rubiera,Intervision Entertainmet,General Manager,Peru Peru
Felipe Baquero,The LEGO Group,"Sr. manager, content partnerships & distribution - Americas global content distribution, EPC",
Felipe De Stefani,El Reino Infantil,CEO,
Felipe Osorio,Canela Media,SVP Content Verticals,USA
Felipe Rey,Inter Miami,"Tech, media and marketing executive",USA
Felipe Tewes,Amazon Prime Video,Head of International Originals,
Fernanda Merdeni,América tv,Gerente de producción,Argentina
Fernando Barbosa,The Walt Disney Company Latin America,"SVP, GM Media Distribution & Production Latam & US Hispanic Mkt",USA
Fernando Calviño,Señal News,Founder & CEO,
Fernando Duarte,Telefuturo,General Manager,Paraguay
Fernando Frade,"Hemisphere Media Group - Cinelatino, Todo Cine",Director of Programming and Acquisitions,USA
